batch_id,name,model,tuned,dataset,prompt,score,generated,model_top_score,human_top_score,gen_id,annotated,relevance,readability,grammaticality,non-redundancy,kid-friendly
1,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"My stomach did a flip, then a flop, I couldn't believe what I was seeing.",6.328326708171517e-05,"""Come here, come here!"" cried John.",False,True,1,True,4,6,6,4,7
1,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"My stomach did a flip, then a flop, I couldn't believe what I was seeing.",0.0001833911373978,I sat up and looked.,True,False,4,True,3,5,7,4,7
2,opt_s3,opt-350m-s3-finetuned,True,s3,"My stomach did a flip, then a flop, I couldn't believe what I was seeing.",0.0102602243423461,"My stomach did a flip, then a flop, I couldn't believe what I was seeing. I knew that I had better not look back, and run down and call the dog, so I did. He came to me in a great hurry. inside of a minute he called to the man who was to be my guardian, """,True,True,7,True,2,2,2,2,6
3,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"My stomach did a flip, then a flop, I couldn't believe what I was seeing.",0.7363701462745667,""" It ' s all right, "" I said.",False,True,10,True,3,3,6,4,7
3,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"My stomach did a flip, then a flop, I couldn't believe what I was seeing.",1.168494462966919,""" It ' s all right. """,True,False,14,True,2,2,6,4,7
4,baseline,facebook/opt-350m,False,,"My stomach did a flip, then a flop, I couldn't believe what I was seeing.",0.0176736935973167,"My stomach did a flip, then a flop, I couldn't believe what I was seeing. That's where I'm at now, not sure if I should go back to the hospital or just go home.",False,True,15,True,4,5,5,6,6
4,baseline,facebook/opt-350m,False,,"My stomach did a flip, then a flop, I couldn't believe what I was seeing.",0.0340753942728042,"My stomach did a flip, then a flop, I couldn't believe what I was seeing. I don't know what was wrong with me. I had this too. The weird thing was that I didn't think it was my body at all.",True,False,16,True,6,6,4,6,7
5,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"One moment Jackson Fickle was taking the second bite of a tuna fish sandwich, and the next he was pulled inside a black hole.",0.0001528071443317,But he had escaped from his hole and slept like a frog.,True,False,22,True,4,4,5,4,7
5,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"One moment Jackson Fickle was taking the second bite of a tuna fish sandwich, and the next he was pulled inside a black hole.",0.0001434366276953,"The opening gave way, and in the darkness he sank into a deep sleep.",False,True,24,True,6,6,6,6,6
6,opt_s3,opt-350m-s3-finetuned,True,s3,"One moment Jackson Fickle was taking the second bite of a tuna fish sandwich, and the next he was pulled inside a black hole.",0.0055467709898948,"One moment Jackson Fickle was taking the second bite of a tuna fish sandwich, and the next he was pulled inside a black hole. ""There's no use in stopping now,"" said Fickling, as he leaped into the hole, ""and I'll just go home and do it."" The hole was big enough for him to sit in it, but not so big as",False,True,25,True,6,4,6,5,7
6,opt_s3,opt-350m-s3-finetuned,True,s3,"One moment Jackson Fickle was taking the second bite of a tuna fish sandwich, and the next he was pulled inside a black hole.",0.0397025197744369,"One moment Jackson Fickle was taking the second bite of a tuna fish sandwich, and the next he was pulled inside a black hole. The squealing and yelling had made the boys' hearts beat fast, for they had never seen such a thing before. This time, however, they did not cry and wail as they usually did, but stared straight before them, with their big",True,False,27,True,3,5,6,6,6
7,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"One moment Jackson Fickle was taking the second bite of a tuna fish sandwich, and the next he was pulled inside a black hole.",1.3240138292312622,"He could not see where he was, but he knew that he had found the treasure.",True,True,34,True,6,6,7,6,7
8,baseline,facebook/opt-350m,False,,"One moment Jackson Fickle was taking the second bite of a tuna fish sandwich, and the next he was pulled inside a black hole.",0.0094884140416979,"One moment Jackson Fickle was taking the second bite of a tuna fish sandwich, and the next he was pulled inside a black hole. His eyes were open, he didn’t know what had just occurred or why, but there was no denying that the moment felt so familiar.  “It”s like you are in my mind,‘ he whispered.",True,True,39,True,5,6,6,7,6
9,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"Percival then said furiously ""I'll cut off your head!"".",5.877154035260901e-05,But Percival screamed and cried.,True,False,43,True,6,3,5,6,6
9,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"Percival then said furiously ""I'll cut off your head!"".",3.569916952983476e-05,"""You don't know what to do with that head,"" cried the King, in a low voice.",False,True,44,True,6,6,6,6,6
10,opt_s3,opt-350m-s3-finetuned,True,s3,"Percival then said furiously ""I'll cut off your head!"".",0.0228901617228984,"Percival then said furiously ""I'll cut off your head!"". ""You silly goose! you should have shut the door after you!"" cried the poor man. and so on. When he reached the hillside where he had left his horse, he stopped and looked into the valley below.  ",True,True,49,True,3,3,3,6,5
11,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"Percival then said furiously ""I'll cut off your head!"".",1.1690375804901123,""" I ' ll give you my life, "" said the man.",False,True,53,True,5,5,7,7,5
11,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"Percival then said furiously ""I'll cut off your head!"".",1.3721435070037842,""" I ' ll do it!",True,False,54,True,4,4,6,3,7
12,baseline,facebook/opt-350m,False,,"Percival then said furiously ""I'll cut off your head!"".",0.0244312193244695,"Percival then said furiously ""I'll cut off your head!"". If it were me, I would just kill him.   I'll do it, he'll die.",False,True,55,True,6,5,5,4,2
12,baseline,facebook/opt-350m,False,,"Percival then said furiously ""I'll cut off your head!"".",0.029606869444251,"Percival then said furiously ""I'll cut off your head!"". I'm not too sure what to make of this one, though.  I was thinking the ""cut off"" part, but maybe they mean the whole face?",True,False,59,True,5,5,6,6,6
13,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"""There's no going back now Mr. Brandon, what should we do?"" Penny asked desperately.",9.546174987917766e-05,"""We must go and look for Mr. Brandon.",True,False,62,True,2,3,7,1,6
13,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"""There's no going back now Mr. Brandon, what should we do?"" Penny asked desperately.",2.662491351657081e-05,"""I don't know,"" said Mr. Brandon.",False,True,63,True,3,3,7,2,7
14,opt_s3,opt-350m-s3-finetuned,True,s3,"""There's no going back now Mr. Brandon, what should we do?"" Penny asked desperately.",0.0148566775023937,"""There's no going back now Mr. Brandon, what should we do?"" Penny asked desperately. ""I think you would like to see a country, where you could live, and be happy, without being a princess,"" said Elinor; ""and I should think it very easy, indeed, to find such a place, as you have",True,True,65,True,5,6,6,6,7
15,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"""There's no going back now Mr. Brandon, what should we do?"" Penny asked desperately.",0.7198144793510437,""" I don ' t know, "" said Mrs. March.",False,True,70,True,5,5,6,6,7
15,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"""There's no going back now Mr. Brandon, what should we do?"" Penny asked desperately.",16.825117111206055,,True,False,74,False,-1,-1,-1,-1,-1
16,baseline,facebook/opt-350m,False,,"""There's no going back now Mr. Brandon, what should we do?"" Penny asked desperately.",0.0021757029462605,"""There's no going back now Mr. Brandon, what should we do?"" Penny asked desperately.  Brandon told her to take a step back. ""I'm sorry Penny but I can't let you continue this."" ""I understand."" She said. She looked at Brandon who was standing in front of her. Penny turned to look at",False,True,75,True,5,6,7,6,6
16,baseline,facebook/opt-350m,False,,"""There's no going back now Mr. Brandon, what should we do?"" Penny asked desperately.",0.034245628863573,"""There's no going back now Mr. Brandon, what should we do?"" Penny asked desperately.  ""I don't know. I think we could just walk away from this place, but that's not an option. What do we have to do to get away? We can just go back to our place and do whatever."" P",True,False,77,True,5,3,6,3,5
17,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"The ugly duckling left home to look for a place where he belonged. He came across some other birds, but they didn't want to be friends with such an odd looking duckling.",0.000151425061631,"They didn't want to be friends with him, and he had always been afraid of him.",True,False,80,True,6,5,3,2,6
17,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"The ugly duckling left home to look for a place where he belonged. He came across some other birds, but they didn't want to be friends with such an odd looking duckling.",4.6500343160005286e-05,"""I don't want to be a friend to the duckling,"" said one of them.",False,True,84,True,7,6,7,3,6
18,opt_s3,opt-350m-s3-finetuned,True,s3,"The ugly duckling left home to look for a place where he belonged. He came across some other birds, but they didn't want to be friends with such an odd looking duckling.",6.860202847747132e-05,"The ugly duckling left home to look for a place where he belonged. He came across some other birds, but they didn't want to be friends with such an odd looking duckling. ""I wonder what it is,"" he thought. Next day he went out hunting and saw a duck on the water.   And so he asked the duck, and the little duck told him all about it.”",False,True,88,True,5,4,5,3,6
18,opt_s3,opt-350m-s3-finetuned,True,s3,"The ugly duckling left home to look for a place where he belonged. He came across some other birds, but they didn't want to be friends with such an odd looking duckling.",0.0062372502870857,"The ugly duckling left home to look for a place where he belonged. He came across some other birds, but they didn't want to be friends with such an odd looking duckling. So he asked them, ""What do you think of me, my dear?"" and they said, ""'Tis a lovely evening; let us go and see the ducks; they will be there by-and-by."" ",True,False,89,True,3,3,6,5,7
19,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"The ugly duckling left home to look for a place where he belonged. He came across some other birds, but they didn't want to be friends with such an odd looking duckling.",0.9790242910385132,"One of them said to the other : "" I don ' t know what I should like to do with a duck.",False,True,92,True,6,4,6,6,7
19,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"The ugly duckling left home to look for a place where he belonged. He came across some other birds, but they didn't want to be friends with such an odd looking duckling.",0.9998484253883362,"One of them said to the other : "" I don ' t know what to do. """,True,False,94,True,5,4,6,5,7
20,baseline,facebook/opt-350m,False,,"The ugly duckling left home to look for a place where he belonged. He came across some other birds, but they didn't want to be friends with such an odd looking duckling.",0.0041072834283113,"The ugly duckling left home to look for a place where he belonged. He came across some other birds, but they didn't want to be friends with such an odd looking duckling.  ""When I first saw the duck, it looked very strange,"" the bird says. ""And I wondered what it was doing out there."" But it wasn't long before it found a good home with a local bird house, where it",True,True,99,True,5,6,5,6,7
21,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"""How to kill a mockingbird?"" she asked herself with a languid smile.",0.0001433850993635,"""I can't kill a mockingbird.",True,False,102,True,6,4,7,3,6
21,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"""How to kill a mockingbird?"" she asked herself with a languid smile.",3.315577851026319e-05,"""I have been trying for a long time,"" she said.",False,True,104,True,6,5,7,5,6
22,opt_s3,opt-350m-s3-finetuned,True,s3,"""How to kill a mockingbird?"" she asked herself with a languid smile.",0.0304659251123666,"""How to kill a mockingbird?"" she asked herself with a languid smile. ""How should I do it? I am very little acquainted with birds, and I could not even guess what she was like.” “If I had known what you were like I should have had the pleasure of seeing",True,False,108,True,4,2,4,3,6
22,opt_s3,opt-350m-s3-finetuned,True,s3,"""How to kill a mockingbird?"" she asked herself with a languid smile.",1.4024615246910344e-08,"""How to kill a mockingbird?"" she asked herself with a languid smile. ""I don't know, but it's got to be done somehow,"" said the old man, with his rusty old glasses on his face. Then he knitted and drew his pipe out of his pocket and rubbed his forehead with it.",False,True,109,True,3,2,6,6,6
23,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"""How to kill a mockingbird?"" she asked herself with a languid smile.",0.8808632493019104,""" I don ' t know what to do, "" she replied.",True,True,114,True,3,3,7,2,7
24,baseline,facebook/opt-350m,False,,"""How to kill a mockingbird?"" she asked herself with a languid smile.",0.0101642524823546,"""How to kill a mockingbird?"" she asked herself with a languid smile.  ""What do you mean?"" I asked. ""What's so funny about the mockingbirds? What's the difference?"" I think it's hilarious, and it also made her laugh. I thought it was hilarious that she was sending me",True,False,115,True,5,5,7,4,6
24,baseline,facebook/opt-350m,False,,"""How to kill a mockingbird?"" she asked herself with a languid smile.",0.0014235463459044,"""How to kill a mockingbird?"" she asked herself with a languid smile.  ""I'm not sure I know what you're asking,"" he said with no obvious reply. ""But I'll tell you what I'm gonna tell ya."" She nodded. She'd never heard him say that before. The fact that",False,True,118,True,5,3,3,6,7
25,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"Many many years ago, a priness was held captive by a dragon in the tallest tower of the kingdom.",0.0002020974789047,"The dragon was in great rage, and the priness had to be killed before the King.",True,False,122,True,3,5,6,6,3
25,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"Many many years ago, a priness was held captive by a dragon in the tallest tower of the kingdom.",0.0001399891043547,"And the dragon seized her and gnawed her heart with a comb, and the priness fell to the ground with great pain.",False,True,124,True,6,5,4,6,4
26,opt_s3,opt-350m-s3-finetuned,True,s3,"Many many years ago, a priness was held captive by a dragon in the tallest tower of the kingdom.",0.0093713738024234,"Many many years ago, a priness was held captive by a dragon in the tallest tower of the kingdom. It was said that the Princess, when she heard of this, was terrified, and would not come out of her room for fear of losing it; and so the dragon had to be carried to the castle, where he was kept in such wretchedness",True,False,126,True,5,2,4,4,6
26,opt_s3,opt-350m-s3-finetuned,True,s3,"Many many years ago, a priness was held captive by a dragon in the tallest tower of the kingdom.",0.0036263833753764,"Many many years ago, a priness was held captive by a dragon in the tallest tower of the kingdom. The king ordered all the dragons in his dominions to be killed. When the dragon had been killed, the king said to his daughter, “Now I have a son, who will be a great king, and will rule over us all.",False,True,129,True,4,3,6,2,4
27,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"Many many years ago, a priness was held captive by a dragon in the tallest tower of the kingdom.",1.09686279296875,"It was a beautiful palace, built of marble, and was built in the style of a king ' s palace.",False,True,130,True,6,7,6,6,7
27,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"Many many years ago, a priness was held captive by a dragon in the tallest tower of the kingdom.",1.1415919065475464,"It was a beautiful palace, built of marble, and was built in the shape of a king ' s hall.",True,False,134,True,6,7,7,7,7
28,baseline,facebook/opt-350m,False,,"Many many years ago, a priness was held captive by a dragon in the tallest tower of the kingdom.",0.0185890067368745,"Many many years ago, a priness was held captive by a dragon in the tallest tower of the kingdom. He had no idea what he was doing, so when the dragon saw that a small dragon had taken possession of it, he decided to try his luck on a new and improved dragon. The dragon took the prryly away, but he learned that",True,False,138,True,5,3,4,2,7
28,baseline,facebook/opt-350m,False,,"Many many years ago, a priness was held captive by a dragon in the tallest tower of the kingdom.",0.0180953219532966,"Many many years ago, a priness was held captive by a dragon in the tallest tower of the kingdom. It was a little girl who had been abducted from a nearby village. She was wearing nothing but a white robe and her mother had a sword in her hand, but the dragon had drawn a dagger and shot it into the air. The little princess was",False,True,139,True,5,5,7,6,3
29,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,There's only one way of getting to the king's planet and it is not using a rocket as you'd expect.,0.000363114348147,Then you can take the rocket and jump to the king's place.,True,False,140,True,4,3,5,4,7
29,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,There's only one way of getting to the king's planet and it is not using a rocket as you'd expect.,0.0002340803621336,"It's only one way that you can get there, and you must be careful when you go, for you don't know where you are going.",False,True,144,True,5,3,6,2,7
30,opt_s3,opt-350m-s3-finetuned,True,s3,There's only one way of getting to the king's planet and it is not using a rocket as you'd expect.,0.0001159711900982,"There's only one way of getting to the king's planet and it is not using a rocket as you'd expect. You must first find out where the Sun sleeps. It's a hard world, and there's no knowing what may happen before you get to him.” “Where is he now?“ Save him, save him",True,True,149,True,3,4,6,6,6
31,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,There's only one way of getting to the king's planet and it is not using a rocket as you'd expect.,1.136630296707153,It ' s a very long way to get to the capital.,True,True,154,True,5,6,6,3,7
32,baseline,facebook/opt-350m,False,,There's only one way of getting to the king's planet and it is not using a rocket as you'd expect.,0.0438788272440433,"There's only one way of getting to the king's planet and it is not using a rocket as you'd expect.  A rocket will kill you if it lands on the planet you're trying to reach, and you'll die before getting there.",True,True,155,True,7,5,6,3,3
33,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,I have no idea how to start a story.,0.0001814247516449,"I have never read a book in my life, but I can tell stories.",False,True,161,True,5,6,7,5,7
33,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,I have no idea how to start a story.,0.0002586994378361,I do not know how to start a story.,True,False,163,True,1,6,6,1,6
34,opt_s3,opt-350m-s3-finetuned,True,s3,I have no idea how to start a story.,0.0149149820208549,"I have no idea how to start a story. That is why I am here.” He took a chair, and sat with his back against the wall, looking at it with an expression of anxious curiosity, which was hardly less keen now that he knew what it was to be in a hurry",True,False,165,True,5,5,6,6,7
34,opt_s3,opt-350m-s3-finetuned,True,s3,I have no idea how to start a story.,0.0008483451674692,"I have no idea how to start a story. I have only begun, and it will surely be a long while before it is finished. You are quite right in your opinion, for there is a great difference between a fairy tale and a true story, but it’s better for me to",False,True,168,True,6,5,6,5,7
35,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,I have no idea how to start a story.,1.077811598777771,It ' s all very well.,False,True,171,True,4,4,6,3,7
35,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,I have no idea how to start a story.,16.484838485717773,,True,False,174,False,-1,-1,-1,-1,-1
36,baseline,facebook/opt-350m,False,,I have no idea how to start a story.,0.0097812991589307,"I have no idea how to start a story. How do you do it exactly? I have a 2.5 year old daughter, and I'm having a hard time trying to get her to believe in stories. I want to tell her a fairy tale, but I don't know how. ",False,True,177,True,7,6,7,6,7
36,baseline,facebook/opt-350m,False,,I have no idea how to start a story.,0.0202056337147951,"I have no idea how to start a story. You just have to sit back, relax and wait for it to come to life.",True,False,178,True,6,7,7,7,7
37,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"From all the mice in the kingdom, only one was able to save the princess, Kratos.",9.602453064871952e-05,"The mouse was the only one who could save the Princess, and he was a brave one.",True,False,182,True,6,6,6,2,7
37,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"From all the mice in the kingdom, only one was able to save the princess, Kratos.",4.300587534089573e-05,"One day, when the mouse was sitting in a corner on sand, he heard the roaring of crows.",False,True,183,True,7,6,7,6,7
38,opt_s3,opt-350m-s3-finetuned,True,s3,"From all the mice in the kingdom, only one was able to save the princess, Kratos.",0.012519359588623,"From all the mice in the kingdom, only one was able to save the princess, Kratos. He was a brave man, but he had no heart for fighting. One night he was playing with some other mice, and one of them said to him: ""You are the only man in our world who can help us to get back our princess",True,True,186,True,6,6,6,5,7
39,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"From all the mice in the kingdom, only one was able to save the princess, Kratos.",0.9251906275749208,She was the queen of the island of Blefuscu.,False,True,190,True,3,6,7,6,7
39,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"From all the mice in the kingdom, only one was able to save the princess, Kratos.",1.3729461431503296,She was a queen.,True,False,194,True,4,3,7,3,7
40,baseline,facebook/opt-350m,False,,"From all the mice in the kingdom, only one was able to save the princess, Kratos.",0.0031972308643162,"From all the mice in the kingdom, only one was able to save the princess, Kratos. He saved her, not the world.  And that princess was his mother.",False,True,196,True,5,6,4,4,5
40,baseline,facebook/opt-350m,False,,"From all the mice in the kingdom, only one was able to save the princess, Kratos.",0.010486165061593,"From all the mice in the kingdom, only one was able to save the princess, Kratos. That was my favorite part of the movie. I love it.",True,False,199,True,3,7,6,5,7
41,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"On Thursday, when Imogene woke up, she found she had grown antlers.",0.000234338644077,"I am glad that she did it, for I never saw such an antler before.",True,False,200,True,5,5,5,6,7
41,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"On Thursday, when Imogene woke up, she found she had grown antlers.",0.0001051082072081,"Then she grew them, and when the day was over, she took off the antlers and hid them under the twigs.",False,True,203,True,6,6,5,5,7
42,opt_s3,opt-350m-s3-finetuned,True,s3,"On Thursday, when Imogene woke up, she found she had grown antlers.",0.0065257437527179,"On Thursday, when Imogene woke up, she found she had grown antlers. Her antles were all pulled out and the leaves were torn off, and there was nothing left. ""It is a great misfortune,"" she said to herself.  Next morning, at dawn, the Princess and her brothers went to the",True,False,206,True,4,3,3,7,6
42,opt_s3,opt-350m-s3-finetuned,True,s3,"On Thursday, when Imogene woke up, she found she had grown antlers.",0.0001279319985769,"On Thursday, when Imogene woke up, she found she had grown antlers. She was very proud of them, and wondered how she could ever have done it. Then she said to her sisters, ""I must go out into the world and see if I can make friends, for I am very unhappy in this jungle.""",False,True,208,True,6,6,7,7,7
43,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"On Thursday, when Imogene woke up, she found she had grown antlers.",1.1822224855422974,It was a long time since she had seen them.,False,True,210,True,4,3,5,6,7
43,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"On Thursday, when Imogene woke up, she found she had grown antlers.",1.3231722116470337,"It was a long, long time since she had been in her nest.",True,False,214,True,3,5,3,6,7
44,baseline,facebook/opt-350m,False,,"On Thursday, when Imogene woke up, she found she had grown antlers.",0.0049152327701449,"On Thursday, when Imogene woke up, she found she had grown antlers. She was terrified, and then she discovered that her hair was a bit longer than normal, too. And she thought, ""Oh, I can't do that. I'm not that kind of animal. This one isn't going to do it.""",True,False,218,True,3,4,7,4,7
44,baseline,facebook/opt-350m,False,,"On Thursday, when Imogene woke up, she found she had grown antlers.",0.0016471184790134,"On Thursday, when Imogene woke up, she found she had grown antlers.  “I’ve always been fascinated with the antler growth process,” she said. “It‘s so fascinating. I„ve never seen it grow that quickly.‚‰› ",False,True,219,True,7,6,5,4,7
45,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"First, let me get something straight: this is a journal, not a diary.",0.000193395622773,It is written in the same syllables as the pages of a Bible.,False,True,221,True,3,2,7,5,5
45,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"First, let me get something straight: this is a journal, not a diary.",0.0002244971110485,I want you to see what you are writing.”,True,False,223,True,4,4,7,3,7
46,opt_s3,opt-350m-s3-finetuned,True,s3,"First, let me get something straight: this is a journal, not a diary.",2.6296143929016583e-08,"First, let me get something straight: this is a journal, not a diary. Second, I must admit that I sometimes think of writing to you, and of waiting for you to reply. But, as I have said before, it was not in my nature to be expected to do anything which was of any consequence.",False,True,227,True,5,7,6,6,6
46,opt_s3,opt-350m-s3-finetuned,True,s3,"First, let me get something straight: this is a journal, not a diary.",0.0066457856446504,"First, let me get something straight: this is a journal, not a diary. It is not so much that I am a philosopher, or that my ideas are philosophical, as that, being a young man, I have a little experience of the world, and am able to make wise statements. I can even say that what I",True,False,228,True,6,4,6,5,6
47,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"First, let me get something straight: this is a journal, not a diary.",1.2931712865829468,It ’ s a good book.,False,True,232,True,5,4,7,3,7
47,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"First, let me get something straight: this is a journal, not a diary.",16.380447387695312,,True,False,234,False,-1,-1,-1,-1,-1
48,baseline,facebook/opt-350m,False,,"First, let me get something straight: this is a journal, not a diary.",0.005268957465887,"First, let me get something straight: this is a journal, not a diary. This isn't a news report. And there's no need for that.  I can admit that I was surprised when I first started reading this and realized that, for some reason, I didn't understand. It was really obvious that it was",False,True,237,True,6,6,6,6,6
48,baseline,facebook/opt-350m,False,,"First, let me get something straight: this is a journal, not a diary.",0.0055724689736962,"First, let me get something straight: this is a journal, not a diary. It's not even an essay, and you're telling us that?   Second, what are you even doing here? Why do you want to destroy this nice blog? I'm not telling you anything. You said you would destroy it",True,False,238,True,5,5,4,4,3
49,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"Mr. and Mrs. Dursley, of number four Privet Drive, were proud to say that they were perfectly normal, thank you very much.",9.367777238367124e-05,"They were very happy, and were always glad to see you and to have the pleasure of meeting you.",False,True,240,True,6,4,6,3,7
49,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"Mr. and Mrs. Dursley, of number four Privet Drive, were proud to say that they were perfectly normal, thank you very much.",0.0001734390098135,I am sure I can tell you what was really happening in their old house.,True,False,241,True,5,6,7,6,4
