batch_id,name,model,tuned,dataset,prompt,score,generated,model_top_score,human_top_score,gen_id,annotated,relevance,readability,grammaticality,non-redundancy,kid-friendly
1,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"My stomach did a flip, then a flop, I couldn't believe what I was seeing.",6.33e-05,"""Come here, come here!"" cried John.",False,True,1,True,4,6,6,6,6
1,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"My stomach did a flip, then a flop, I couldn't believe what I was seeing.",0.000183391,I sat up and looked.,True,False,4,True,6,5,4,3,4
2,opt_s3,opt-350m-s3-finetuned,True,s3,"My stomach did a flip, then a flop, I couldn't believe what I was seeing.",0.010260224,"My stomach did a flip, then a flop, I couldn't believe what I was seeing. I knew that I had better not look back, and run down and call the dog, so I did. He came to me in a great hurry. inside of a minute he called to the man who was to be my guardian, """,True,True,7,True,4,3,3,5,5
3,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"My stomach did a flip, then a flop, I couldn't believe what I was seeing.",0.736370146,""" It ' s all right, "" I said.",False,True,10,True,6,7,7,5,5
3,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"My stomach did a flip, then a flop, I couldn't believe what I was seeing.",1.168494463,""" It ' s all right. """,True,False,14,True,4,6,5,4,4
4,baseline,facebook/opt-350m,False,,"My stomach did a flip, then a flop, I couldn't believe what I was seeing.",0.017673694,"My stomach did a flip, then a flop, I couldn't believe what I was seeing. That's where I'm at now, not sure if I should go back to the hospital or just go home.",False,True,15,True,4,6,7,6,7
4,baseline,facebook/opt-350m,False,,"My stomach did a flip, then a flop, I couldn't believe what I was seeing.",0.034075394,"My stomach did a flip, then a flop, I couldn't believe what I was seeing. I don't know what was wrong with me. I had this too. The weird thing was that I didn't think it was my body at all.",True,False,16,True,6,5,6,6,7
5,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"One moment Jackson Fickle was taking the second bite of a tuna fish sandwich, and the next he was pulled inside a black hole.",0.000152807,But he had escaped from his hole and slept like a frog.,True,False,22,True,4,4,5,6,6
5,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"One moment Jackson Fickle was taking the second bite of a tuna fish sandwich, and the next he was pulled inside a black hole.",0.000143437,"The opening gave way, and in the darkness he sank into a deep sleep.",False,True,24,True,4,5,3,5,6
6,opt_s3,opt-350m-s3-finetuned,True,s3,"One moment Jackson Fickle was taking the second bite of a tuna fish sandwich, and the next he was pulled inside a black hole.",0.005546771,"One moment Jackson Fickle was taking the second bite of a tuna fish sandwich, and the next he was pulled inside a black hole. ""There's no use in stopping now,"" said Fickling, as he leaped into the hole, ""and I'll just go home and do it."" The hole was big enough for him to sit in it, but not so big as",False,True,25,True,5,3,3,3,4
6,opt_s3,opt-350m-s3-finetuned,True,s3,"One moment Jackson Fickle was taking the second bite of a tuna fish sandwich, and the next he was pulled inside a black hole.",0.03970252,"One moment Jackson Fickle was taking the second bite of a tuna fish sandwich, and the next he was pulled inside a black hole. The squealing and yelling had made the boys' hearts beat fast, for they had never seen such a thing before. This time, however, they did not cry and wail as they usually did, but stared straight before them, with their big",True,False,27,True,4,4,3,5,5
7,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"One moment Jackson Fickle was taking the second bite of a tuna fish sandwich, and the next he was pulled inside a black hole.",1.324013829,"He could not see where he was, but he knew that he had found the treasure.",True,True,34,True,6,6,6,5,6
8,baseline,facebook/opt-350m,False,,"One moment Jackson Fickle was taking the second bite of a tuna fish sandwich, and the next he was pulled inside a black hole.",0.009488414,"One moment Jackson Fickle was taking the second bite of a tuna fish sandwich, and the next he was pulled inside a black hole. His eyes were open, he didn’t know what had just occurred or why, but there was no denying that the moment felt so familiar.  “It”s like you are in my mind,‘ he whispered.",True,True,39,True,6,6,5,5,7
9,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"Percival then said furiously ""I'll cut off your head!"".",5.88e-05,But Percival screamed and cried.,True,False,43,True,7,7,7,7,6
9,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"Percival then said furiously ""I'll cut off your head!"".",3.57e-05,"""You don't know what to do with that head,"" cried the King, in a low voice.",False,True,44,True,6,6,4,6,3
10,opt_s3,opt-350m-s3-finetuned,True,s3,"Percival then said furiously ""I'll cut off your head!"".",0.022890162,"Percival then said furiously ""I'll cut off your head!"". ""You silly goose! you should have shut the door after you!"" cried the poor man. and so on. When he reached the hillside where he had left his horse, he stopped and looked into the valley below.  ",True,True,49,True,3,3,6,6,5
11,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"Percival then said furiously ""I'll cut off your head!"".",1.16903758,""" I ' ll give you my life, "" said the man.",False,True,53,True,4,7,6,5,4
11,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"Percival then said furiously ""I'll cut off your head!"".",1.372143507,""" I ' ll do it!",True,False,54,True,5,5,3,3,3
12,baseline,facebook/opt-350m,False,,"Percival then said furiously ""I'll cut off your head!"".",0.024431219,"Percival then said furiously ""I'll cut off your head!"". If it were me, I would just kill him.   I'll do it, he'll die.",False,True,55,True,6,6,6,5,2
12,baseline,facebook/opt-350m,False,,"Percival then said furiously ""I'll cut off your head!"".",0.029606869,"Percival then said furiously ""I'll cut off your head!"". I'm not too sure what to make of this one, though.  I was thinking the ""cut off"" part, but maybe they mean the whole face?",True,False,59,True,3,5,6,5,7
13,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"""There's no going back now Mr. Brandon, what should we do?"" Penny asked desperately.",9.55e-05,"""We must go and look for Mr. Brandon.",True,False,62,True,5,5,3,2,4
13,t5_s3,t5-v1_1-base-s3-finetuned,True,s3,"""There's no going back now Mr. Brandon, what should we do?"" Penny asked desperately.",2.66e-05,"""I don't know,"" said Mr. Brandon.",False,True,63,True,7,7,7,5,6
14,opt_s3,opt-350m-s3-finetuned,True,s3,"""There's no going back now Mr. Brandon, what should we do?"" Penny asked desperately.",0.014856678,"""There's no going back now Mr. Brandon, what should we do?"" Penny asked desperately. ""I think you would like to see a country, where you could live, and be happy, without being a princess,"" said Elinor; ""and I should think it very easy, indeed, to find such a place, as you have",True,True,65,True,2,3,4,4,4
15,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"""There's no going back now Mr. Brandon, what should we do?"" Penny asked desperately.",0.719814479,""" I don ' t know, "" said Mrs. March.",False,True,70,True,4,6,6,6,6
15,b2b_s3,bert2bert_s3_e3_mxlen150,True,s3,"""There's no going back now Mr. Brandon, what should we do?"" Penny asked desperately.",16.82511711,,True,False,74,True,1,1,1,1,1
